ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,169,-0.65974281943482,-3.14662391665616,1e-10,1.225e-09,8.15789473684211e-10,1187,"tags=49%, list=13%, signal=43%",CKS2/PRKDC/DUT/NBN/RACGAP1/TP53/TBRG4/SMC1A/SLBP/ANP32E/XRCC6/SNRPB/BARD1/RFC2/DONSON/HNRNPD/CDCA8/CDK4/UBR7/RANBP1/PSIP1/CTPS1/PHF5A/ATAD2/UBE2T/CENPE/HELLS/POLD3/RPA3/RRM2/MKI67/PRDX4/TOP2A/CDK1/LYAR/PCNA/CBX5/MRE11/BRCA1/TCF19/DNMT1/POLA2/PAICS/MCM3/MAD2L1/MCM7/HUS1/PRIM2/CDKN3/NASP/AURKB/RFC3/SRSF2/MELK/NME1/TIPIN/WEE1/ASF1B/KIF4A/MMS22L/BIRC5/MCM5/MCM4/POLE/BUB1B/RAD51AP1/MCM2/TIMELESS/BRCA2/LMNB1/DIAPH3/SPC25/LIG1/POP7/TK1/ORC6/DLGAP5/GINS4/CHEK1/HMMR/MCM6/CENPM,1164/5591/1854/4683/29127/7157/9238/8243/7884/81611/2547/6628/580/5982/29980/3184/55143/1019/55148/5902/11168/1503/84844/29028/29089/1062/3070/10714/6119/6241/4288/10549/7153/983/55646/5111/23468/4361/672/6941/1786/23649/10606/4172/4085/4176/3364/5558/1033/4678/9212/5983/6427/9833/4830/54962/7465/55723/24137/253714/332/4174/4173/5426/701/10635/4171/8914/675/4001/81624/57405/3978/10248/7083/23594/9787/84296/1111/3161/4175/79019,NK cells,HALLMARK,Monaco_main
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,163,-0.608032161437074,-2.88278444993968,1e-10,1.225e-09,8.15789473684211e-10,1591,"tags=47%, list=17%, signal=39%",ATF5/RAD23B/FANCC/TMPO/CBX1/SAP30/FBXO5/NUP98/NSD2/SMARCC1/TRA2B/UCK2/SLC7A5/SLC38A1/CKS2/CHAF1A/RACGAP1/NCL/SMC1A/KIF20B/ATRX/SNRPD1/BARD1/NUSAP1/AMD1/HNRNPD/SFPQ/CDK4/TFDP1/CENPE/SMC2/INCENP/BCL3/KNL1/MKI67/TOP2A/CDK1/KIF23/BUB1/TGFB1/PRC1/POLA2/TPX2/MCM3/CDC7/GINS2/MAD2L1/KPNB1/KIF11/HUS1/PRIM2/CDKN3/NASP/AURKB/SRSF2/NDC80/WRN/UBE2C/KIF4A/CDC45/BIRC5/MCM5/POLE/MT2A/MCM2/BRCA2/CDC6/LMNB1/CCNA2/KIF15/ORC6/CASP8AP2/CHEK1/HMMR/MCM6/POLQ,22809/5887/2176/7112/10951/8819/26271/4928/7468/6599/6434/7371/8140/81539/1164/10036/29127/4691/8243/9585/546/6632/580/51203/262/3184/6421/1019/7027/1062/10592/3619/602/57082/4288/7153/983/9493/699/7040/9055/23649/22974/4172/8317/51659/4085/3837/3832/3364/5558/1033/4678/9212/6427/10403/7486/11065/24137/8318/332/4174/5426/4502/4171/675/990/4001/890/56992/23594/9994/1111/3161/4175/10721,NK cells,HALLMARK,Monaco_main
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,78,-0.620924993437173,-2.56514763732493,1e-10,1.225e-09,8.15789473684211e-10,1433,"tags=46%, list=15%, signal=39%",RNF31/ISG15/SAMD9L/PSME1/CD74/EIF2AK2/SELL/IL15/B2M/CASP8/NMI/RIPK2/TRIM25/TRIM21/UBE2L6/PSMA3/PARP12/DDX60/GBP2/ISG20/PNPT1/PSME2/PSMB8/HLA-C/ADAR/RSAD2/MX1/LAP3/TAP1/PARP9/EPSTI1/LY6E/IRF1/PSMB9/GBP4/IRF9,55072/9636/219285/5720/972/5610/6402/3600/567/841/9111/8767/7706/6737/9246/5684/64761/55601/2634/3669/87178/5721/5696/3107/103/91543/4599/51056/6890/83666/94240/4061/3659/5698/115361/10379,NK cells,HALLMARK,Monaco_main
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,152,-0.540834805544496,-2.53616819934105,1e-10,1.225e-09,8.15789473684211e-10,1915,"tags=47%, list=20%, signal=38%",FAS/NAMPT/RBCK1/PLA2G4A/LYSMD2/TRIM26/BPGM/AUTS2/SP110/PFKP/PARP14/IL2RB/NUP93/RNF31/ISG15/SAMD9L/PSME1/PELI1/CD74/EIF2AK2/STAT4/IL15/B2M/CASP8/TNFAIP3/GZMA/CD38/ARID5B/JAK2/STAT3/ZNFX1/NMI/MYD88/RNF213/CD69/RIPK2/TRIM25/NFKBIA/TRIM21/UBE2L6/PSMA3/PARP12/PSMB10/TNFSF10/DDX60/HLA-A/ISG20/PNPT1/HLA-B/PSME2/PSMB8/FGL2/NLRC5/ADAR/UPP1/RSAD2/MX1/APOL6/XAF1/LAP3/MT2A/OAS2/TAP1/EPSTI1/LY6E/IRF1/PSMB9/GBP4/SLAMF7/IRF9/STAT1,355/10135/10616/5321/256586/7726/669/26053/3431/5214/54625/3560/9688/55072/9636/219285/5720/57162/972/5610/6775/3600/567/841/7128/3001/952/84159/3717/6774/57169/9111/4615/57674/969/8767/7706/4792/6737/9246/5684/64761/5699/8743/55601/3105/3669/87178/3106/5721/5696/10875/84166/103/7378/91543/4599/80830/54739/51056/4502/4939/6890/94240/4061/3659/5698/115361/57823/10379/6772,NK cells,HALLMARK,Monaco_main
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,141,-0.430168115836018,-1.98732528059454,7.74882617713786e-07,7.5938496535951e-06,5.05712866297418e-06,1525,"tags=41%, list=16%, signal=35%",PTPRE/PTGS2/SQSTM1/IL6ST/MAP3K8/GADD45B/NAMPT/BIRC2/NR4A2/ZFP36/JUNB/NR4A3/DUSP2/MAP2K3/KLF4/EGR1/B4GALT5/ATP2B1/KLF2/MXD1/BTG2/BCL2A1/JUN/TNFAIP3/CFLAR/RNF19B/SERPINE1/STAT5A/FOSL2/TRAF1/PPP1R15A/ID2/CCNL1/BHLHE40/RCAN1/CD69/RIPK2/PTGER4/PLEK/BCL3/TNFSF9/NFKBIA/CD44/IER2/KLF6/FOS/ETS2/ATF3/B4GALT1/NFE2L2/CCL4/KDM6B/EGR2/MCL1/CEBPD/TAP1/IRF1/LITAF,5791/5743/8878/3572/1326/4616/10135/329/4929/7538/3726/8013/1844/5606/9314/1958/9334/490/10365/4084/7832/597/3725/7128/8837/127544/5054/6776/2355/7185/23645/3398/57018/8553/1827/969/8767/5734/5341/602/8744/4792/960/9592/1316/2353/2114/467/2683/4780/6351/23135/1959/4170/1052/6890/3659/9516,NK cells,HALLMARK,Monaco_main
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,192,-0.384145905631914,-1.86992377927599,1.52767151560573e-06,1.24759840441135e-05,8.30838894452241e-06,2353,"tags=44%, list=25%, signal=34%",NOP56/PRDX3/MRPL9/PSMD7/YWHAQ/XPOT/CCT5/USP1/GNL3/RAN/EIF3B/HSP90AB1/PPM1G/ACP1/PRPF31/SERBP1/RUVBL2/HNRNPR/TUFM/ILF2/HNRNPA3/PRPS2/IMPDH2/RAD23B/PSMD1/SRSF3/PSMC4/AP3S1/TOMM70/PSMD8/POLD2/SMARCC1/TRA2B/LDHA/HNRNPA2B1/CCT3/FAM120A/VDAC3/SNRPG/DUT/SNRPA1/VBP1/DDX21/PSMA6/CCT2/PSMC6/XRCC6/SNRPD1/CCT7/HNRNPD/PSMA4/EIF4A1/STARD7/EIF3J/CYC1/CDK4/SRSF7/HSPE1/RANBP1/PSMD14/NDUFAB1/TFDP1/CTPS1/DDX18/RRM1/EIF2S2/PRDX4/CDK2/PCNA/HDDC2/MAD2L1/HSPD1/MCM7/KPNB1/TYMS/SRSF2/SRPK1/NME1/CDC45/MCM5/MCM4/MCM2/CCNA2/RFC4/MCM6,10528/10935/65005/5713/10971/11260/22948/7398/26354/5901/8662/3326/5496/52/26121/26135/10856/10236/7284/3608/220988/5634/3615/5887/5707/6428/5704/1176/9868/5714/5425/6599/6434/3939/3181/7203/23196/7419/6637/1854/6627/7411/9188/5687/10576/5706/2547/6632/10574/3184/5685/1973/56910/8669/1537/1019/6432/3336/5902/10213/4706/7027/1503/8886/6240/8894/10549/1017/5111/51020/4085/3329/4176/3837/7298/6427/6732/4830/8318/4174/4173/4171/890/5984/4175,NK cells,HALLMARK,Monaco_main
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,158,-0.383951188390173,-1.8024808541565,1.42326529102113e-05,9.96285703714791e-05,6.63477052957218e-05,1281,"tags=27%, list=14%, signal=24%",PKD2/TAOK2/TIAM1/VCL/SASS6/RACGAP1/EZR/LRPPRC/TUBA4A/ALS2/CAPZB/SMC1A/ABI1/AKAP13/KIF20B/TUBGCP3/SSH2/NUSAP1/DLG1/ARFIP2/PLEKHG2/FLNA/CENPE/INCENP/TOP2A/CDK1/KIF23/BUB1/PRC1/TPX2/KIF11/BCR/NDC80/ECT2/ALMS1/KNTC1/KIF4A/BIRC5/BRCA2/LMNB1/SAC3D1/KIF15/DLGAP5,5311/9344/7074/7414/163786/29127/7430/10128/7277/57679/832/8243/10006/11214/9585/10426/85464/51203/1739/23647/64857/2316/1062/3619/7153/983/9493/699/9055/22974/3832/613/10403/1894/7840/9735/24137/332/675/4001/29901/56992/9787,NK cells,HALLMARK,Monaco_main
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,130,-0.377946777575691,-1.72650708493773,0.00022609076288701,0.00138480592268293,0.000922212322302277,1615,"tags=28%, list=17%, signal=23%",IMPDH2/POLR2I/AGO4/NT5C/ERCC8/RBX1/SEC61A1/POLR2F/DUT/PRIM1/TP53/TMED2/TAF6/RFC2/SF3A3/RFC5/ALYREF/POLD3/VPS37B/RPA3/DGCR8/PCNA/SDCBP/GTF2F1/FEN1/POLA2/POLR2A/TYMS/ZWINT/RFC3/RAD51/NME1/POLA1/LIG1/SAC3D1/RFC4,3615/5438/192670/30833/1161/9978/29927/5435/1854/5557/7157/10959/6878/5982/10946/5985/10189/10714/79720/6119/54487/5111/6386/2962/2237/23649/5430/7298/11130/5983/5888/4830/5422/3978/29901/5984,NK cells,HALLMARK,Monaco_main
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,113,-0.384331020831288,-1.71805869157352,0.000410654641751115,0.00223578638286718,0.00148892326248942,1008,"tags=27%, list=11%, signal=25%",ANXA1/PAK1/BTG2/CASP8/JUN/CFLAR/CD38/PDCD4/PLCB2/F2R/KRT18/CASP2/CD69/ANKH/LGALS3/CD44/TOP2A/CDK2/TNFSF10/ATF3/BRCA1/ISG20/PMAIP1/PRF1/MCL1/WEE1/TGFBR3/FASLG/TAP1/TSPO/IRF1,301/5058/7832/841/3725/8837/952/27250/5330/2149/3875/835/969/56172/3958/960/7153/1017/8743/467/672/3669/5366/5551/4170/7465/7049/356/6890/706/3659,NK cells,HALLMARK,Monaco_main
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,55,0.450437715823158,1.78412270982365,0.0028334907449128,0.0126219133182479,0.00840557063084179,1253,"tags=29%, list=13%, signal=25%",TM7SF2/DHCR7/TP53INP1/PCYT2/FASN/MVK/CPEB2/CHKA/CD9/ALDOC/PNRC1/FADS2/PDK3/LSS/ERRFI1/GSTM2,7108/1717/94241/5833/2194/4598/132864/1119/928/230/10957/9415/5165/4047/54206/2946,NK cells,HALLMARK,Monaco_main
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,133,-0.343504114106965,-1.57152209255495,0.00266536102238961,0.0126219133182479,0.00840557063084179,1277,"tags=30%, list=14%, signal=26%",CD74/LY75/STAT4/CXCR3/IL15/B2M/GPR65/ABI1/GZMA/CCR1/JAK2/F2R/ITGAL/EIF3J/FLNA/TRAF2/KLRD1/ETS1/RIPK2/PTPRC/BCL3/IFNG/PSMB10/GBP2/BRCA1/HLA-A/TGFB1/IL12RB1/PRKCB/HLA-E/CCL4/PRF1/NME1/ITGB2/TAP2/FASLG/FYB1/TAP1/GZMB/STAT1,972/4065/6775/2833/3600/567/8477/10006/3001/1230/3717/2149/3683/8669/2316/7186/3824/2113/8767/5788/602/3458/5699/2634/672/3105/7040/3594/5579/3133/6351/5551/4830/3689/6891/356/2533/6890/3002/6772,NK cells,HALLMARK,Monaco_main
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,107,-0.357376454721592,-1.58153268170924,0.00324603410839599,0.0132546392759503,0.00882693485616455,2062,"tags=33%, list=22%, signal=26%",TGFBRAP1/SQSTM1/IL6ST/STARD3/NUP58/TFRC/LYN/E2F5/PPIF/JUNB/CLTB/PARP2/RAB27A/RASGRP1/DNAJB1/AP2S1/PSMC3/BTG2/GLS/TUBA4A/DDX21/AMD1/UROD/GGH/NFKBIA/IGFBP2/FOS/POLG2/CDK2/ATF3/FEN1/TAP1/HLA-F/RFC4/IRF1,9392/8878/3572/10948/9818/7037/4067/1875/10105/3726/1212/10038/5873/10125/3337/1175/5702/7832/2744/7277/9188/262/7389/8836/4792/3485/2353/11232/1017/467/2237/6890/3134/5984/3659,NK cells,HALLMARK,Monaco_main
