ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,leading_edge_symbols,leading_edge_entrez,cluster,geneset,annotation
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,79,0.522385452088024,2.28423259730342,1.1631600279387e-07,2.73342606565594e-06,1.71413056748861e-06,985,"tags=46%, list=19%, signal=37%",PSAT1/SLC7A5/MTHFD2/TSPYL2/SRPRB/CEBPB/RPS14/SERP1/HERPUD1/ATF4/HSPA9/HSPA5/PDIA6/EDEM1/ERO1A/PDIA5/WIPI1/HSP90B1/HYOU1/DNAJB9/DKC1/SPCS1/SEC11A/ERN1/DDIT4/CALR/SPCS3/CEBPG/SEC31A/FKBP14/DNAJC3/YIF1A/ALDH18A1/NOLC1/SRPRA/EEF2,29968/8140/10797/64061/58477/1051/6208/27230/9709/468/3313/3309/10130/9695/30001/10954/55062/7184/10525/4189/1736/28972/23478/2081/54541/811/60559/1054/22872/55033/5611/10897/5832/9221/6734/1938,Exhausted B cells,HALLMARK,Monaco_fine
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,84,-0.505720793303324,-2.27265157789647,8.24354185966146e-08,2.73342606565594e-06,1.71413056748861e-06,1558,"tags=68%, list=30%, signal=48%",AK2/IPO7/STAG1/SMC3/NUDT21/NAP1L1/SMC1A/EIF2S1/CBX5/SMC4/NUP153/PSIP1/DCK/DUT/TFRC/SLBP/XRCC6/MLH1/EED/PCNA/NBN/RFC1/CNOT9/SSRP1/RAD50/HNRNPD/NAA38/ING3/RAN/HMGA1/DEK/HUS1/PRKDC/PRIM2/CTCF/NASP/LBR/SNRPB/TMPO/RBBP7/HMGB2/BARD1/ILF3/CKS2/RPA3/DDX39A/SMC6/TUBB/ANP32E/DNMT1/PDS5B/RANBP1/JPT1/USP1/EZH2/XPO1/BRCA2,204/10527/10274/9126/11051/4673/8243/1965/23468/10051/9972/11168/1633/1854/7037/7884/2547/4292/8726/5111/4683/5981/9125/6749/10111/3184/84316/54556/5901/3159/7913/3364/5591/5558/10664/4678/3930/6628/7112/5931/3148/580/3609/1164/6119/10212/79677/203068/81611/1786/23047/5902/51155/7398/2146/7514/675,Exhausted B cells,HALLMARK,Monaco_fine
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,92,-0.470615300481586,-2.15104807084131,2.77731257910607e-07,4.35112304059951e-06,2.72858779701649e-06,803,"tags=40%, list=16%, signal=35%",SLC38A1/KIF5B/E2F3/HNRNPD/HMGA1/HUS1/DR1/HMGN2/CUL3/PRIM2/CTCF/NUP50/NASP/LBR/SMARCC1/MAPK14/TMPO/KIF20B/BARD1/ILF3/SLC12A2/HIF1A/CKS2/SQLE/BUB3/EWSR1/DDX39A/PDS5B/SNRPD1/SS18/G3BP1/JPT1/EZH2/HNRNPU/MTF2/XPO1/BRCA2,81539/3799/1871/3184/3159/3364/1810/3151/8452/5558/10664/10762/4678/3930/6599/1432/7112/9585/580/3609/6558/3091/1164/6713/9184/2130/10212/23047/6632/6760/10146/51155/2146/3192/22823/7514/675,Exhausted B cells,HALLMARK,Monaco_fine
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,46,-0.588358976477156,-2.34866776638526,4.11724418694145e-07,4.8377619196562e-06,3.03375887458843e-06,1060,"tags=57%, list=21%, signal=45%",PTEN/PIK3CB/HADH/WASL/MSN/GNAI2/NF1/ITGB1/SYK/CAP1/ACTG1/CNN2/MAPK14/VASP/EVL/RAC2/MYH9/YWHAH/SKAP2/ACTB/PTK2/PFN1/PTPRC/ARHGEF6/ARPC2/CD86,5728/5291/3033/8976/4478/2771/4763/3688/6850/10487/71/1265/1432/7408/51466/5880/4627/7533/8935/60/5747/5216/5788/9459/10109/942,Exhausted B cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,101,-0.42447216748074,-1.98602924391583,7.51239624136516e-06,7.06165246688325e-05,4.42835988964683e-05,797,"tags=37%, list=15%, signal=32%",CD69/PTPN6/STAT1/BTG1/IRF9/IRF2/TNFSF10/SPPL2A/PTPN2/IRF8/BANK1/PSMB2/PARP14/SAMD9L/HIF1A/IFITM2/NCOA3/RNF213/EPSTI1/HLA-DMA/HLA-DRB1/CD38/SP110/HLA-B/PSME2/CD74/CIITA/HLA-DQA1/PIM1/RAPGEF6/IL10RA/PSMB10/PSMB8/PELI1/PSMB9/CD86/HLA-A,969/5777/6772/694/10379/3660/8743/84888/5771/3394/55024/5690/54625/219285/3091/10581/8202/57674/94240/3108/3123/952/3431/3106/5721/972/4261/3117/5292/51735/3587/5699/5696/57162/5698/942/3105,Exhausted B cells,HALLMARK,Monaco_fine
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,96,-0.389787810215539,-1.80441156550257,0.000244780755599351,0.00191744925219491,0.00120243178189155,1609,"tags=53%, list=31%, signal=37%",KLC1/TLK1/STAU1/TRIO/SMC3/FGD4/RANBP9/SMC1A/SMC4/ARF6/TSC1/KNTC1/RAPGEF5/CD2AP/PCNT/HOOK3/NCK2/CDK5RAP2/TUBGCP3/CDC42/SSH2/RALBP1/ARHGDIA/SEPTIN9/CNTRL/WASL/AKAP13/CEP192/ARHGEF12/RFC1/KIF5B/NF1/RABGAP1/CCDC88A/STK38L/MYO9B/CKAP5/ROCK1/PPP4R2/CEP57/KIF20B/MYH9/NIN/DOCK2/PREX1/ARHGEF7/CAPZB/RAPGEF6/NEDD9/PCM1/BRCA2,3831/9874/6780/7204/9126/121512/10048/8243/10051/382/7248/9735/9771/23607/5116/84376/8440/55755/10426/998/85464/10928/396/10801/11064/8976/11214/55125/23365/5981/3799/4763/23637/55704/23012/4650/9793/6093/151987/9702/9585/4627/51199/1794/57580/8874/832/51735/4739/5108/675,Exhausted B cells,HALLMARK,Monaco_fine
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,50,-0.471790091120632,-1.8944492407945,0.000298241737190495,0.0020024802354219,0.00125575468290735,851,"tags=42%, list=17%, signal=35%",BIRC3/PTBP2/HDAC9/CCSER2/TSPAN13/IRF8/ETS1/USP12/LAPTM5/CXCR4/ATG10/NIN/DOCK2/CD37/ADAM17/LAT2/IKZF1/IL10RA/PSMB8/RABGAP1L/LCP1,330/58155/9734/54462/27075/3394/2113/219333/7805/7852/83734/51199/1794/951/6868/7462/10320/3587/5696/9910/3936,Exhausted B cells,HALLMARK,Monaco_fine
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,75,0.421679274834567,1.80619550508468,0.000514871944310538,0.00302487267282441,0.00189689663693356,919,"tags=39%, list=18%, signal=32%",P4HA1/DDIT3/MXI1/FOXO3/TIPARP/CDKN1A/S100A4/HSPA5/FOS/DUSP1/CDKN1B/BNIP3L/ERO1A/HDLBP/JUN/RORA/CAV1/DDIT4/NAGK/MT1E/TPST2/ANXA2/MT2A/BCL2/TMEM45A/KDM3A/PNRC1/PLAC8/KLHL24,5033/1649/4601/2309/25976/1026/6275/3309/2353/1843/1027/665/30001/3069/3725/6095/857/54541/55577/4493/8459/302/4502/596/55076/55818/10957/51316/54800,Exhausted B cells,HALLMARK,Monaco_fine
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,41,-0.48282386087354,-1.85570110242906,0.000731559824502278,0.00382036797240078,0.00239575147205424,797,"tags=32%, list=15%, signal=27%",IRF9/IRF2/NUB1/PARP14/SAMD9L/ELF1/IFITM2/EPSTI1/SP110/PSME2/CD74/PSMB8/PSMB9,10379/3660/51667/54625/219285/1997/10581/94240/3431/5721/972/5696/5698,Exhausted B cells,HALLMARK,Monaco_fine
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,88,0.383451225010806,1.69943093943373,0.00145429613276466,0.00683519182399392,0.00428634649656954,1473,"tags=47%, list=29%, signal=34%",CD44/EIF1/KLF2/CEBPB/CCL4/TIPARP/CDKN1A/FOS/DUSP1/LITAF/NFE2L2/JUN/NR4A3/ZBTB10/FOSB/IL6ST/PMEPA1/SOD2/MARCKS/CCNL1/KDM6B/MXD1/RHOB/IRF1/PNRC1/TNIP1/SQSTM1/NR4A2/BTG2/NR4A1/IL7R/IER2/IER5/JUNB/GADD45A/NFKBIA/PPP1R15A/CFLAR/KLF6/ZFP36/DNAJB4,960/10209/10365/1051/6351/25976/1026/2353/1843/9516/4780/3725/8013/65986/2354/3572/56937/6648/4082/57018/23135/4084/388/3659/10957/10318/8878/4929/7832/3164/3575/9592/51278/3726/1647/4792/23645/8837/1316/7538/11080,Exhausted B cells,HALLMARK,Monaco_fine
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,60,-0.40435205554908,-1.69099297808092,0.00242145496698846,0.0103462166771325,0.00648810900245712,1060,"tags=40%, list=21%, signal=32%",PTEN/ARHGDIA/SMAD2/VAV3/ITPR2/UBE2N/AP2M1/ACTR3/PPP1CA/EIF4E/GSK3B/PTPN11/CLTC/TBK1/GRB2/CXCR4/ACTR2/YWHAB/CFL1/ARPC3/CAMK4/DAPP1/PFN1/PRKCB,5728/396/4087/10451/3709/7334/1173/10096/5499/1977/2932/5781/1213/29110/2885/7852/10097/7529/1072/10094/814/27071/5216/5579,Exhausted B cells,HALLMARK,Monaco_fine
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,85,-0.350986380571467,-1.58081939773864,0.0037543118529466,0.0147043880907075,0.00922111683179867,969,"tags=33%, list=19%, signal=27%",PTPN6/ITGAL/STAT1/UBE2N/HDAC9/WAS/EIF4G3/LY86/IRF8/LY75/NCF4/ETS1/MTIF2/CSK/HIF1A/HLA-E/LYN/HLA-DMA/CD74/HLA-DRA/PTPRC/HLA-DMB/HLA-DQA1/PRKCB/LTB/PSMB10/CD86/HLA-A,5777/3683/6772/7334/9734/7454/8672/9450/3394/4065/4689/2113/4528/1445/3091/3133/4067/3108/972/3122/5788/3109/3117/5579/4050/5699/942/3105,Exhausted B cells,HALLMARK,Monaco_fine
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,116,0.333496348389903,1.54673939503625,0.00489584401362713,0.0177003591261904,0.0110998892616648,643,"tags=24%, list=12%, signal=22%",PSAT1/P4HA1/SLC7A5/MTHFD2/DDIT3/SLC1A5/SHMT2/UFM1/SERP1/USO1/CDKN1A/HSPA9/HSPA5/LGMN/EDEM1/ERO1A/HSP90B1/NFKBIB/HSPD1/CD9/PHGDH/ATP2A2/SEC11A/DDIT4/NIBAN1/GLA/CALR/PSMD13,29968/5033/8140/10797/1649/6510/6472/51569/27230/8615/1026/3313/3309/5641/9695/30001/7184/4793/3329/928/26227/488/23478/54541/116496/2717/811/5719,Exhausted B cells,HALLMARK,Monaco_fine
